"","Year","Date","Region","PlotID","Latitude","Longitude","EncounterType","FlagCode","FlagColor","CurrentFlagCode","CurrentFlagColor","Age","Sex","TrackerType1","TrackerType2","TrackerStatus1","TrackerStatus2","Observer","Comments"
"149",2014,"6/4/2014","Alaska","34 MI",64.81683,-166.01085,"R","6JH","FELG","1LM","FEDG","AHY",,"","","","","LHD","Apparently single. Seen on ground after flight display.additional observers -  NRH, , , , "
"150",2014,"6/3/2014","Alaska","34 MI",64.81435,-165.93382,"R","6JT","FELG","6JT","FELG","AHY",,"","","","","LHD","Apparently single.additional observers -  NRH, , , , "
"151",2014,"6/1/2014","Alaska","34 MI",64.81787,-165.99689,"R","6HC","FELG","6HC","FELG","AHY",,"GEO","","Retained","","JAJ","Apparently single.additional observers - , , , , "
"153",2014,"5/26/2014","Alaska","34 MI",64.82288,-166.041,"R","6UM","FELG","6UM","FELG","AHY",,"GEO","","Retained","","NRH","Appeared to be paired. Two scrape displays, female did not attend though.additional observers - , , , , "
"154",2014,"5/28/2014","Alaska","34 MI",64.82529,-166.04269,"R","6LX","FELG","6LX","FELG","AHY",,"GEO","","Retained","","JAJ","Appeared to be single. Flew out of sight withing minutes.additional observers - , , , , "
"155",2014,"5/22/2014","Alaska","34 MI",64.81535,-166.0167,"R","6JH","FELG","1LM","FEDG","AHY",,"","","","","LHD","Appeared to be single.additional observers -  NRH, , , , "
"156",2014,"5/22/2014","Alaska","37 MI",64.85371,-166.0827,"R","6TE","FELG","6TE","FELG","AHY",,"","","","","LHD","Appeared to be single.additional observers - , , , , "
"157",2014,"5/22/2014","Alaska","34 MI",64.82053,-166.039,"R","6UN","FELG","6UN","FELG","AHY",,"","","","","LHD","Appeared to be single.additional observers - , , , , "
"158",2014,"5/24/2014","Alaska","34 MI",64.81804,-166.0123,"R","6EA","FELG","6EA","FELG","AHY",,"","","","","LHD","Appeared to be single.additional observers - , , , , "
"159",2014,"5/25/2014","Alaska","Tombstone",64.94296,-166.2107,"R","6HX","FELG","6HX","FELG","AHY",,"GEO","","Retained","","LHD","Appeared to be single.additional observers - , , , , "
"160",2014,"5/26/2014","Alaska","34 MI",64.82578,-166.0342,"R","6KU","FELG","6KU","FELG","AHY",,"","","","","NRH","Appeared to be single.additional observers - , , , , "
"161",2014,"5/31/2014","Alaska","34 MI",64.81351,-165.95221,"R","6HH","FELG","6HH","FELG","AHY",,"GEO","","Retained","","NRH","Appeared to be single.additional observers - , , , , "
"167",2014,"5/29/2014","Alaska","34 MI",64.82185,-166.04289,"R","6LX","FELG","6LX","FELG","AHY",,"GEO","","Retained","","NRH","Appears to be single. Flying all over displayingadditional observers - , , , , "
"168",2014,"5/26/2014","Alaska","34 MI",64.82288,-166.041,"R","6LX","FELG","6LX","FELG","AHY",,"GEO","","Retained","","NRH","Appears to be single. Frequently had issues with 6UMadditional observers - , , , , "
"169",2014,"5/29/2014","Alaska","34 MI",64.82382,-166.03819,"R","6UM","FELG","6UM","FELG","AHY",,"GEO","","Retained","","NRH","Appears to be single. Three scrapes found today.additional observers - , , , , "
