Year,NestID,Date,Time,PlotID,Latitude,Longitude,Observer,Visit,Stage,NestSeen,Eggs,Chicks,Adult1FlagCode,Adult1FlagColor,Adult2FlagCode,Adult2FlagColor,InitiationDate,NestCondition,Fox,EggFrags,EggBits,Membranes,MembranesShell,AdultBroody,BroodSeen,HowFailed,Comments|Egg1_Length|Egg1_Width|Egg1_Angle|Egg1_Surfaced|Egg1_mmAbove|Egg1_Mass(g)|Egg2_Length|Egg2_Width|Egg2_Angle|Egg2_Surfaced|Egg2_mmAbove|Egg2_Mass(g)|Egg3_Length|Egg3_Width|Egg3_Angle|Egg3_Surfaced|Egg3_mmAbove|Egg3_Mass(g)|Egg4_Length|Egg4_Width|Egg4_Angle|Egg4_Surfaced|Egg4_mmAbove|Egg4_Mass(g)|Est_Age(days)|Incubation_Date||%Lich_1|%Moss_1|%DST_1|%Forb_1|%Other_1|%Sedge_1|%Kinick_1|%Vacc_1|%Empet_1|%Heath_1|%BareRock_1|%LichRock_1|%BareSoil_1|%Lich_10|%Moss_10|%DST_10|%Forb_10|%Other_10|%Sedge_10|%Kinick_10|%Vacc_10|%Empet_10|%Heath_10|%BareRock_10|%LichRock_10|%BareSoil_10|Width|Depth|Conceal|Slope|Asp|Elev|Hatch_Date(est)|notes
2016,NHSG_001,6/6/2016,21:00,34 MI,64.82399,-166.03362,NRH,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/19/2016,13:00,34 MI,64.82399,-166.03362,JAJ,3,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/20/2016,,34 MI,64.82399,-166.03362,,4,unknown,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/21/2016,13:40,34 MI,64.82399,-166.03362,BJH,5,incubation,Y,4,0,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/23/2016,18:00,34 MI,64.82399,-166.03362,JVG,6,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/25/2016,14:15,34 MI,64.82399,-166.03362,JVG,7,unknown,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/25/2016,14:34,34 MI,64.82399,-166.03362,BJH,8,unknown,Y,1,3,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NHSG_001,6/25/2016,21:50,34 MI,64.82399,-166.03362,JAJ,Fate Determined,hatch,,0,4,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_001,5/29/2016,18:49,34 MI,64.81905,-166.03487,NRH,Initial Discovery,incubation,Y,,,6UU,FELG,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_001,6/7/2016,20:30,34 MI,64.81905,-166.03487,NRH,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_001,6/13/2016,15:00,34 MI,64.81905,-166.03487,JAJ,3,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_001,6/14/2016,,34 MI,64.81905,-166.03487,,Fate Determined,unknown,,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_002,6/3/2016,,34 MI,64.81501,-165.95634,NRH,Initial Discovery,laying,Y,,,1HJ,FEDG,1EN,FEDG,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_002,6/6/2016,,34 MI,64.81501,-165.95634,NRH,2,incubation,N,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_002,6/14/2016,13:55,34 MI,64.81501,-165.95634,JAJ,3,incubation,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_002,6/20/2016,12:15,34 MI,64.81501,-165.95634,JVG,4,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_002,6/20/2016,19:00,34 MI,64.81501,-165.95634,JVG,5,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2016,NRH_002,6/21/2016,,34 MI,64.81501,-165.95634,JVG,Fate Determined,hatch,Y,,,,,,,,,,,,,,,,,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
